VehiculoID,VIN_Patron,Anio,Marca,Modelo,SubModelo,Estilo,FechaCreacion
1,2G1WX12XV9,1997,Chevrolet,Monte Carlo,Z34,Z34 2dr Coupe,2019-03-06 18:49:58.620000000
2,1C3EJ56HVN,1997,Chrysler,Cirrus,LX,LX 4dr Sedan,2018-11-26 17:31:03.840000000
3,1C3EJ56XVN,1997,Chrysler,Cirrus,LX,LX 4dr Sedan,2015-08-01 13:29:21.470000000
4,2C3HD56FVH,1997,Chrysler,Concorde,LX,LX 4dr Sedan,2017-09-04 14:35:12.520000000
5,2C3HC56FVH,1997,Chrysler,LHS,Base,4dr Sedan,2015-12-08 23:57:01.720000000
6,4B3AU42NVE,1997,Dodge,Avenger,Base,2dr Coupe,2018-09-24 07:49:39.930000000
7,4B3AU42YVE,1997,Dodge,Avenger,Base,2dr Coupe,2015-12-19 18:29:31.740000000
8,4B3AU42YVE,1997,Dodge,Avenger,ES,ES 2dr Coupe,2019-02-17 04:08:30.270000000
9,4B3AU52NVE,1997,Dodge,Avenger,ES,ES 2dr Coupe,2015-08-30 01:19:25.330000000
10,2B3HD46FVH,1997,Dodge,Intrepid,Base,4dr Sedan,2019-05-11 01:48:01.280000000
11,2B3HD46TVH,1997,Dodge,Intrepid,Base,4dr Sedan,2018-02-23 14:53:50.180000000
12,2B3HD56FVH,1997,Dodge,Intrepid,ES,ES 4dr Sedan,2018-07-12 19:17:14.630000000
13,1B3ES27CVD,1997,Dodge,Neon,Base,4dr Sedan,2018-06-18 20:55:28.410000000
14,1B3ES42CVD,1997,Dodge,Neon,Highline,Highline 2dr Coupe,2016-02-28 19:52:29.610000000
15,1B3ES42YVD,1997,Dodge,Neon,Highline,Highline 2dr Coupe,2017-03-31 21:45:27.290000000
16,JH4NA126YT,2000,Acura,NSX,NSX-T,2dr T Coupe,2015-03-20 10:32:18.810000000
17,JH4NA216YT,2000,Acura,NSX,NSX-T,2dr T Coupe,2017-08-07 08:48:19.950000000
18,4E3AK44YVE,1997,Eagle,Talon,ESi,ESi 2dr Hatchback,2017-08-16 03:15:34.070000000
19,4E3AK54FVE,1997,Eagle,Talon,TSi Turbo,TSi Turbo 2dr Hatchback,2018-05-03 17:59:50.160000000
20,JH4KA965YC,2000,Acura,RL,3.5,3.5 4dr Sedan,2017-06-16 22:27:44.260000000
21,JH4KA966YC,2000,Acura,RL,3.5,3.5 4dr Sedan,2018-03-11 04:55:55.240000000
22,4E3AL54FVE,1997,Eagle,Talon,TSi Turbo,AWD TSi Turbo 2dr Hatchback,2019-09-07 04:14:15.490000000
23,KLATA226YB,2000,Daewoo,Lanos,S,S 2dr Hatchback,2015-06-17 17:03:30.450000000
24,2E3HD56FVH,1997,Eagle,Vision,ESi,ESi 4dr Sedan,2017-02-25 02:58:22.320000000
25,2E3HD56TVH,1997,Eagle,Vision,ESi,ESi 4dr Sedan,2018-10-07 13:51:13.500000000
26,2E3HD66FVH,1997,Eagle,Vision,TSi,TSi 4dr Sedan,2016-08-06 06:44:25.450000000
27,2B7KB31TYK,2000,Dodge,Ram Van,3500,3dr 3500 Extended Cargo Van,2019-09-16 13:06:48.330000000
28,2B7KB31YYK,2000,Dodge,Ram Van,3500,3dr 3500 Extended Cargo Van,2016-01-06 17:23:53.300000000
29,2B7KB31ZYK,2000,Dodge,Ram Van,3500,3dr 3500 Extended Cargo Van,
30,2B7LB31ZYK,2000,Dodge,Ram Van,3500,3dr 3500 Extended Cargo Van,2015-07-24 06:18:49.940000000
31,KNJLT05HV6,1997,Ford,Aspire,Base,2dr Hatchback,2015-03-18 12:59:15.870000000
32,2B7KB31TYK,2000,Dodge,Ram Van,3500 Maxi,3dr 3500 Maxi Extended Cargo Van,2016-09-15 04:50:13.190000000
33,2B7KB31YYK,2000,Dodge,Ram Van,3500 Maxi,3dr 3500 Maxi Extended Cargo Van,2016-02-17 09:09:46.710000000
34,2B7KB31ZYK,2000,Dodge,Ram Van,3500 Maxi,3dr 3500 Maxi Extended Cargo Van,2018-09-05 11:59:26.800000000
35,2B7LB31ZYK,2000,Dodge,Ram Van,3500 Maxi,3dr 3500 Maxi Extended Cargo Van,2016-03-30 02:06:20.940000000
36,KNJLT06HV6,1997,Ford,Aspire,Base,4dr Hatchback,2017-05-08 20:32:15.710000000
37,JH4NA123YT,2000,Acura,NSX,Base,2dr Coupe,2018-09-09 08:00:40.350000000
38,JH4NA213YT,2000,Acura,NSX,Base,2dr Coupe,2016-05-15 09:10:46.080000000
39,2FALP739VX,1997,Ford,Crown Victoria,Base,4dr Sedan,2019-11-12 08:17:25.330000000
40,2FALP73WVX,1997,Ford,Crown Victoria,Base,4dr Sedan,2019-11-08 11:43:56.720000000
41,2FAFP74WVX,1997,Ford,Crown Victoria,LX,LX 4dr Sedan,2016-12-07 22:32:26.380000000
42,2FALP749VX,1997,Ford,Crown Victoria,LX,LX 4dr Sedan,2018-06-10 22:09:07.220000000
43,2FALP74WVX,1997,Ford,Crown Victoria,LX,LX 4dr Sedan,2015-03-05 15:57:40.990000000
44,1FALP404VF,1997,Ford,Mustang,Base,2dr Fastback,2016-06-26 12:40:20.820000000
45,1FALP444VF,1997,Ford,Mustang,Base,2dr Convertible,2016-04-27 23:42:06.230000000
46,1FALP42XVF,1997,Ford,Mustang,GT,GT 2dr Fastback,2019-09-16 19:37:01.360000000
47,WBABH732TE,1996,BMW,3 Series,318i,318i 2dr Convertible,2017-12-10 07:34:15.650000000
48,WBABH832TE,1996,BMW,3 Series,318i,318i 2dr Convertible,2017-08-04 02:11:25.650000000
49,1FALP45XVF,1997,Ford,Mustang,GT,GT 2dr Convertible,2015-12-22 21:39:10.190000000
50,4USCD732TL,1996,BMW,3 Series,318i,318i 4dr Sedan,2017-01-11 01:12:12.920000000
51,4USCD832TL,1996,BMW,3 Series,318i,318i 4dr Sedan,2016-05-04 04:08:54.810000000
52,1ZVLT20AV5,1997,Ford,Probe,Base,2dr Hatchback,2018-09-09 13:56:45.400000000
53,WBACG732TA,1996,BMW,3 Series,318ti,318ti 2dr Hatchback,2018-02-28 12:08:15.210000000
54,WBACG832TA,1996,BMW,3 Series,318ti,318ti 2dr Hatchback,2018-07-06 13:25:30.110000000
55,1ZVLT22BV5,1997,Ford,Probe,GT,GT 2dr Hatchback,2015-10-18 22:48:45.150000000
56,WBABK732TE,1996,BMW,3 Series,328i,328i 2dr Convertible,2015-08-15 13:33:36.680000000
57,WBABK832TE,1996,BMW,3 Series,328i,328i 2dr Convertible,2019-06-29 14:35:43.130000000
58,WBABK834TE,1996,BMW,3 Series,328i,328i 2dr Convertible,2018-06-12 00:27:33.380000000
59,1FAFP52UVA,1997,Ford,Taurus,GL,GL 4dr Sedan,2018-06-05 10:30:59.160000000
60,1FAFP52UVG,1997,Ford,Taurus,GL,GL 4dr Sedan,2018-11-28 00:43:59.030000000
61,1FALP521VG,1997,Ford,Taurus,GL,GL 4dr Sedan,2019-05-03 17:12:36.280000000
62,1FALP522VA,1997,Ford,Taurus,GL,GL 4dr Sedan,2019-01-07 18:42:51.610000000
63,1FALP522VG,1997,Ford,Taurus,GL,GL 4dr Sedan,2019-12-13 01:05:38.450000000
64,1FALP52UVA,1997,Ford,Taurus,GL,GL 4dr Sedan,2018-07-27 21:49:40.320000000
65,1FALP52UVG,1997,Ford,Taurus,GL,GL 4dr Sedan,2015-06-14 12:20:09.450000000
66,1FAFP57UVG,1997,Ford,Taurus,GL,GL 4dr Wagon,2017-08-25 20:57:48.090000000
67,1FALP57UVA,1997,Ford,Taurus,GL,GL 4dr Wagon,2017-01-07 05:44:03.470000000
68,1FALP57UVG,1997,Ford,Taurus,GL,GL 4dr Wagon,2019-11-06 07:17:47.840000000
69,1FAFP58SVA,1997,Ford,Taurus,LX,LX 4dr Wagon,2017-03-21 18:49:07.460000000
70,1FALP58SVA,1997,Ford,Taurus,LX,LX 4dr Wagon,2018-10-21 23:20:13.910000000
71,1FALP58SVG,1997,Ford,Taurus,LX,LX 4dr Wagon,2018-07-22 13:44:46.940000000
72,4USCD132TL,1996,BMW,3 Series,328i,328i 4dr Sedan,2018-11-04 01:21:32.740000000
73,4USCD232TL,1996,BMW,3 Series,328i,328i 4dr Sedan,2017-09-25 00:30:54.620000000
74,WBACD332TA,1996,BMW,3 Series,328i,328i 4dr Sedan,2017-10-07 15:31:37.350000000
75,WBACD432TA,1996,BMW,3 Series,328i,328i 4dr Sedan,2016-05-26 19:27:23.770000000
76,1FAFP54NVA,1997,Ford,Taurus,SHO,SHO 4dr Sedan,2019-01-06 00:18:37.040000000
77,1FALP54NVA,1997,Ford,Taurus,SHO,SHO 4dr Sedan,2018-01-06 12:58:14.240000000
78,1FALP54VVA,1997,Ford,Taurus,SHO,SHO 4dr Sedan,2018-03-13 15:33:54.670000000
79,WBABE732TE,1996,BMW,3 Series,318is,318is 2dr Coupe,2019-02-18 17:21:24.220000000
80,WBABE832TE,1996,BMW,3 Series,318is,318is 2dr Coupe,2017-06-10 07:21:20.960000000
81,WBABG132TE,1996,BMW,3 Series,328is,328is 2dr Coupe,2015-10-29 06:16:57.840000000
82,WBABG232TE,1996,BMW,3 Series,328is,328is 2dr Coupe,2019-01-02 04:32:59.810000000
83,2C1MR226V6,1997,Geo,Metro,Base,2dr Hatchback,2018-09-25 15:27:38.130000000
84,4USCH732TL,1996,BMW,Z3,Base,2dr 1.9 Convertible,2018-12-25 16:11:40.390000000
85,WBAEG432TC,1996,BMW,8 Series,850Ci,850Ci 2dr Coupe,2019-03-21 02:09:55.140000000
86,2C1MR229V6,1997,Geo,Metro,LSi,LSi 2dr Hatchback,2016-07-07 23:02:30.470000000
87,2C1MR529V6,1997,Geo,Metro,LSi,LSi 4dr Sedan,2018-07-17 16:41:57.980000000
88,WBSEG932TC,1996,BMW,8 Series,850CSi,850CSi 2dr Coupe,2017-08-12 19:44:16.600000000
89,WBSBG932TE,1996,BMW,M3,Base,2dr Coupe,2017-11-18 13:10:41.640000000
90,WBAGJ832TD,1996,BMW,7 Series,740iL,740iL 4dr Sedan,2015-08-16 12:32:44.250000000
91,1Y1SK526VZ,1997,Geo,Prizm,Base,4dr Sedan,2017-11-09 05:56:32.580000000
92,WBAGK232TD,1996,BMW,7 Series,750iL,750iL 4dr Sedan,2015-03-31 07:33:06.970000000
93,1Y1SK526VZ,1997,Geo,Prizm,LSi,LSi 4dr Sedan,2017-12-09 22:39:46.930000000
94,1Y1SK528VZ,1997,Geo,Prizm,LSi,LSi 4dr Sedan,2015-12-16 07:33:26.300000000
95,WBAEF832TC,1996,BMW,8 Series,840Ci,840Ci 2dr Coupe,2015-07-08 18:31:20.440000000
96,1HGCD713VA,1997,Honda,Accord,LX,LX 2dr Coupe,2017-11-30 03:49:34.780000000
97,1HGCD723VA,1997,Honda,Accord,LX,LX 2dr Coupe,2018-06-28 21:03:28.780000000
98,WBABK532SE,1995,BMW,3 Series,318i,318i 2dr Convertible,2016-08-07 18:08:00.670000000
99,WBABK632SE,1995,BMW,3 Series,318i,318i 2dr Convertible,2016-01-14 00:20:11.360000000
100,4USCC732SL,1995,BMW,3 Series,318i,318i 4dr Sedan,2018-09-02 02:44:18.150000000
