IDAseguradora,NombreAseguradora,RowCreatedDate,Activa
1,AAA MI AUTO CLUB GROUP,2010-01-01 00:00:00,True
2,GARRISON PROPERTY & CASUALTY  A USAA SUBSIDIARY,2010-01-01 00:00:00,True
3,TRAVELERS - THE STANDARD FIRE INSURANCE COMPANY,2010-01-01 00:00:00,True
4,NORTH CAROLINA FARM BUREAU,2010-01-01 00:00:00,True
5,Comsearch  Inc.,2010-01-01 00:00:00,True
6,DAIRYLAND INSURANCE,2010-01-01 00:00:00,True
7,SOLUTION WORKS -- USAA,2010-01-01 00:00:00,True
8,HARLEYSVILLE WORCESTER INSURANCE CO,2010-01-01 00:00:00,True
9,MOUNTAIN WEST FARM BUREAU,2010-01-01 00:00:00,True
10,NORTHSTAR MUTUAL,2010-01-01 00:00:00,True
11,USAA SOLUTIONWORKS,2010-01-01 00:00:00,True
12,GEORGIA FARM BUREAU,2010-01-01 00:00:00,True
13,AUTOMOBILE CLUB INSURANCE,2010-01-01 00:00:00,True
14,all state,2010-01-01 00:00:00,True
15,COMMERCIAL ALLIANCE INSURANCE,2010-01-01 00:00:00,True
16,HARDFORD MUTUAL INSURANCE CO.,2010-01-01 00:00:00,True
17,COLORADO CASUALTY,2010-01-01 00:00:00,True
18,GEICO.,2010-01-01 00:00:00,True
19,ERIE INSURANCE,2010-01-01 00:00:00,True
20,ALFA PROP & CAS INS CO.,2010-01-01 00:00:00,True
21,3RD PARTY PAYEE (DAUGHTERS CAR),2010-01-01 00:00:00,True
22,AMTRUST NORTH AMERICA,2010-01-01 00:00:00,True
23,THIRD PARTY PAY,2010-01-01 00:00:00,True
24,PHILADELPHIA INSURANCE,2010-01-01 00:00:00,True
25,Progressive County Mutual Ins Co,2010-01-01 00:00:00,True
26,ENTERPRISE HOLDINGS  INC.,2010-01-01 00:00:00,True
27,MAPFRE USA,2010-01-01 00:00:00,True
28,SCA FRANCHISING CORPORATION,2010-01-01 00:00:00,True
29,NEW JERSEY MANUFACTURERS,2010-01-01 00:00:00,True
30,METROPOLITAN LLOYDS INSURANCE COMPANY OF TEXAS,2010-01-01 00:00:00,True
31,CASTLE KEY INDEMNITY COMPANY,2010-01-01 00:00:00,True
32,Beneva,2010-01-01 00:00:00,True
33,Acacia Insurance,2010-01-01 00:00:00,True
34,NATIONWIDE AGRIBUSINESS INS NAIC,2010-01-01 00:00:00,True
35,CENTURY-NATIONAL INSURANCE COMPANY,2010-01-01 00:00:00,True
36,SEWELL TODD & BROXTON,2010-01-01 00:00:00,True
37,AUTO- OWNERS INSURANCE,2010-01-01 00:00:00,True
38,NATIONAL INSURANCE COMPANY,2010-01-01 00:00:00,True
39,LYNX - Texas Farm Bureau,2010-01-01 00:00:00,True
40,NATIONWIDE INS. CO. OF AMERICA,2010-01-01 00:00:00,True
41,CUSTOMER PAY VS STATE FARM,2010-01-01 00:00:00,True
42,Selective Insurance,2010-01-01 00:00:00,True
43,AMSHIELD INSURANCE COMPANY,2010-01-01 00:00:00,True
44,Insurance Claim Associates,2010-01-01 00:00:00,True
45,LHH WE OWE,2010-01-01 00:00:00,True
46,Mechanical,2010-01-01 00:00:00,True
47,ZURICH NA,2010-01-01 00:00:00,True
48,sedgwick,2010-01-01 00:00:00,True
49,SAFECO INSURANCE COMPANY OF ILLINOI,2010-01-01 00:00:00,True
50,HARTFORD INSURANCE GROUP,2010-01-01 00:00:00,True
51,FARM BUREAU OF GEORGIA,2010-01-01 00:00:00,True
52,NATIONAL SPECIALTY INSURANCE COMPANY,2010-01-01 00:00:00,True
53,GRINNELL MUTUAL GROUP,2010-01-01 00:00:00,True
54,SELFAUDIT TEST INS COMP1,2010-01-01 00:00:00,True
55,1-800 WE BUY CARS ELMONTE,2010-01-01 00:00:00,True
56,DIRECT INSURANCE,2010-01-01 00:00:00,True
57,LIBERTY***,2010-01-01 00:00:00,True
58,PREOGRESSIVE,2010-01-01 00:00:00,True
59,FOREMOST COUNTY MUTUAL INSURANCE CO.,2010-01-01 00:00:00,True
60,AMERICAN NATIONAL PROP & CAS,2010-01-01 00:00:00,True
61,LYNX - Cincinnati Insurance,2010-01-01 00:00:00,True
62,MAIN STREET AMERICA ASSURANCE COMPANY,2010-01-01 00:00:00,True
63,USED CAR INTERNAL,2010-01-01 00:00:00,True
64,WESTERN GENERAL DEALER SERVICES,2010-01-01 00:00:00,True
65,MetLife,2010-01-01 00:00:00,True
66,TREXIS INSURANCE,2010-01-01 00:00:00,True
67,CUSTOMER,2010-01-01 00:00:00,True
68,WOLVERINE MUTUAL INSURANCE COMPANY,2010-01-01 00:00:00,True
69,CALIBER,2010-01-01 00:00:00,True
70,DAYTON COLLISION,2010-01-01 00:00:00,True
71,NORFOLK AND DEDHAM GROUP,2010-01-01 00:00:00,True
72,TRAVELERS - TRAVELERS INDEMNITY COMPANY OF CONNECTICUT (THE),2010-01-01 00:00:00,True
73,NORTHERN NECK INSURANCE COMPANY,2010-01-01 00:00:00,True
74,All Other Insurance Companies,2010-01-01 00:00:00,True
75,FRAKENMUTH INSURNACE,2010-01-01 00:00:00,True
76,Liberty Mutual Ins,2010-01-01 00:00:00,True
77,TEST ACG,2010-01-01 00:00:00,True
78,sf,2010-01-01 00:00:00,True
79,THE MEMBERS INSURANCE COMPANY,2010-01-01 00:00:00,True
80,MAPFRE INSURANCE COMPANY OF FLORIDA,2010-01-01 00:00:00,True
81,PLYMOUTHROCK,2010-01-01 00:00:00,True
82,rural ins,2010-01-01 00:00:00,True
83,GEICO 3RD,2010-01-01 00:00:00,True
84,Unknown/ At fault party,2010-01-01 00:00:00,True
85,0,2010-01-01 00:00:00,True
86,METLIFE/,2010-01-01 00:00:00,True
87,Qualitas Insurance,2010-01-01 00:00:00,True
88,LOYA INSURANCE COMPANY,2010-01-01 00:00:00,True
89,Athens Insurance Services,2010-01-01 00:00:00,True
90,GREAT AMERICAN INSURANCE GROUP,2010-01-01 00:00:00,True
91,TURO INSURANCE,2010-01-01 00:00:00,True
92,STATE FARM 1ST,2010-01-01 00:00:00,True
93,SeaHarbor Insurance,2010-01-01 00:00:00,True
94,CHARGE TO STOCK UNIT,2010-01-01 00:00:00,True
95,northstar insurance,2010-01-01 00:00:00,True
96,C.E.I.,2010-01-01 00:00:00,True
97,GO INSURANCE INC.,2010-01-01 00:00:00,True
98,AMERICAN ALLIANCE,2010-01-01 00:00:00,True
99,SCA FRANCHISING CORPERATION,2010-01-01 00:00:00,True
100,HASTINGS,2010-01-01 00:00:00,True
