IDPlantaReparacion,CompanyNombre,Direccion,Direccion2,Ciudad,Estado,CodigoPostal,Pais,TelefonoAlmacen,FaxAlmacen,CorreoContacto,NombreContacto,TelefonoContacto,TituloTrabajo,AlmacenKeystone,IDPredio,LocalizadorCotizacion,FechaAgregado,IDEmpresa,ValidacionSeguro,Activo,CreadoPor,ActualizadoPor,UltimaFechaActualizacion
0000002611,Moncadplan International ,85 White Clarendon Street,Suite 14,Rochester,Florida,22080,US,475-5574426,462-930-9384,ufclxeu.scdqpvwoh@vtor.bkaang.org,Alyssa Henson,170160-1648,Dr,,125,125,2003-03-01 07:11:24.760000000,004,False,False,Linda,Aaron,
0000004662,Emglibaquax Holdings ,945 Rocky First Drive,Suite 7,Columbus,Iowa,59586,US,701-5356101,548613-9211,ylypqm@corddv.net,Kristine Olsen,6400756931,Mr,081,106,3081,2012-02-10 02:13:19.370000000,001,False,False,Gustavo,,
0000010701,Tupsapistor WorldWide ,958 South Second Boulevard, Group,Birmingham,South Dakota,26336,US,4530005564,335-121-9145,ujfu.tspyww@mqldlls.hxgqlv.org,Lara Paul,719095-4125,Ms,,,3,2009-06-12 20:36:05.270000000,001,False,False,John,,2007-10-23 01:29:32.680000000
0000011346,Rapkilplan  Corp.,56 North Nobel Way,Appartment 7,Memphis,Michigan,53766,US,2982018345,514936-4999,cbubv.kcalbwr@nsxnfbgwv.ygiwjt.com,Stephanie Mckay,1773335540,Mr,279,350,3279,2004-07-17 11:51:21.370000000,001,False,False,Sherry,,
0000017606,Addudower WorldWide Company,499 South Fabien Street,Truman Building,Buffalo,Kentucky,09644,US,0046439349,572804-1325,bmjygqr.jkkq@jetaxc.net,,980800-0249,Mr,,854,854,2002-04-19 16:43:06.850000000,004,False,False,Daryl,Curtis,
0000023312,Zeewerpazz Direct ,35 First Road,2nd Floor,Atlanta,Wisconsin,31708,US,1883547112,956-811-6159,rtcdnoxm.yjhd@zayx.bpeksp.com,Terrence Best,691-9199226,Mr,,790,1790,2004-11-06 00:58:35.730000000,004,False,True,Paul,Ivan,2014-04-19 00:10:14.090000000
0000025745,Emwerpin Holdings ,143 East Rocky Clarendon Freeway,Suite 5,Yonkers,Illinois,69050,CA,517935-2874,995-197-4553,baxbhv14@xyqbnad.ntsphn.com,Jayson Moses,7858999181,Dr,270,000,1264,2014-04-03 07:36:27.870000000,002,False,True,Meghan,,
0000028241,Supmunover Direct Corp.,882 White Fabien Road,5th Floor,Little Rock,New Hampshire,58739,US,492698-9112,388-5594764,hbdp.heawrfsigi@iqaatb.org,Wayne Goodwin,112050-3430,Miss,,729,729,2013-09-10 22:51:09.200000000,004,False,True,Wallace,Gordon,2006-10-03 06:42:46.430000000
0000031049,Rewerpistor  ,114 Green Oak Drive,Sanger Building,Hialeah,Alabama,25321,US,9924565930,3401428501,xihorh20@vbsl.zhzwdt.com,Bobbie Ho,7014898765,Mr,,740,1740,2001-07-23 07:11:21.970000000,004,True,True,Jeffrey,,
0000031925,Klivenicator  ,55 East Oak Boulevard,Appartment 221,Shreveport,Tennessee,67284,US,043-137-2656,5828636708,htfce544@oilpvj.org,Gwendolyn Elliott,393-816-3301,Mrs.,,790,1790,2014-10-11 13:15:59.920000000,004,False,True,Brandy,Cesar,
0000035474,Bartanackistor  ,488 South Hague Street,Suite 488,Shreveport,Washington,54094,US,826-426-4218,072-2061105,lrcndqv.jotue@rk--sd.org,Nora Boyer,475-160-7564,Mr,,730,1730,2009-05-26 19:45:39.820000000,004,True,True,Ben,,
0000035859,Surpebicator Holdings ,57 New Avenue,Suite 5,Boston,Iowa,34109,US,322676-8626,542-693-4698,bjqn.uaxfrqpud@ylglw.kxlxoh.org,Angie Bates,7961518873,Mrs,,790,1790,2017-09-01 15:03:25.680000000,004,True,True,Tiffany,,
0000037133,Lomsipover International ,30 West Green New St.,Foster Building,Tucson,Texas,63543,US,446308-8020,329331-1448,qksvd.eofpl@vheygg.org,Elijah Mills,5139995396,Dr,,723,1723,2015-11-07 18:13:12.300000000,004,True,True,Jordan,Cindy,
0000038473,Lompickedor  ,616 White Oak Blvd.,APT 46,Atlanta,Delaware,48132,US,6196672218,5313274110,vdvgo6@csvs.fhmnqu.net,Bobby York,372-335-2328,Mr,,790,1790,2007-10-02 14:27:00.620000000,004,False,True,Eli,,2008-05-19 22:06:44.710000000
0000039231,Parglibepex WorldWide Inc,542 Nobel Drive,Suite 639,Oakland,Montana,69017,US,339-421-5309,362-2219007,zpolq.ppubla@ewvu.gkuvar.com,Kenya Garrison,7755382879,Mrs,145,170,3145,2005-01-06 02:32:06.150000000,001,True,True,Christian,Franklin,
0000051512,Grofropazz International ,17 Green Fabien Avenue,APT 202,Bakersfield,Texas,10766,CN,607731-6872,811-025-5051,kgbshkct2@xwjtrz.yeuwdp.com,Stephen Castaneda,0551743489,Mrs.,,910,910,2014-12-19 20:05:37.160000000,004,False,True,Anne,,
0000059271,Hapvenanax  Corp.,326 Second Avenue,Suite 273,Montgomery,Pennsylvania,68090,US,250-2387918,542-768-5335,eljgc.azst@gjtd.yvnfgw.net,Kenny Williamson,676-687-4797,Mr,,785,1785,2016-10-16 06:32:37.020000000,004,True,True,Pablo,,2009-02-07 15:58:10.400000000
0000059455,Zeewerpistor International ,139 West White Hague Blvd.,Truman Building,Houston,Pennsylvania,84597,US,543722-4267,481601-6854,rfcr592@iaefnxgjm.rhiymx.net,Rachelle Garner,178462-2645,Dr.,,790,1790,2016-01-13 02:02:06.220000000,004,False,True,Ruth,,
0000061185,Klikilonin WorldWide ,830 White Old Street,2nd Floor,Jackson,Georgia,35802,US,9136801117,3205508927,ptwsuwa@fqbxp.phz-sf.net,Summer Sparks,712-620-3910,Mr,091,,3091,2004-03-15 05:14:05.140000000,001,True,True,Stefanie,Adriana,2008-10-04 01:01:14.710000000
0000061873,Unmunentor International ,95 East Old Avenue,Post Sales Group,Philadelphia,Nevada,30862,US,123-9808623,4393494870,oadpgcxt.vscmxuxke@gyfukm.org,Robert Park,376413-4510,Ms,095,700,3095,2008-08-02 21:47:25.020000000,001,True,True,Lee,,2004-11-13 19:09:24.510000000
0000062777,Reerower  Group,230 North New Parkway,Appartment 7,Akron,Wisconsin,20637,US,881-2075626,916549-5717,kvoq377@-dyftk.com,Donnell Atkinson,763-9873980,Mr,,337,1337,2000-03-30 06:15:31.140000000,004,True,False,Sidney,,
