ID_Orden,ID_Cliente,ID_Ciudad,ID_StatusOrden,Total_Orden,Fecha_Orden,NumeroOrden,ID_DetalleOrden,ID_Parte,ID_Descuento,CantidadOrden,VehiculoID,IDCotizacion,status,TipoDocumento,FechaCreacionCotizacion,ProcesadoPor,IDAseguradora,AseguradoraSubsidiaria,NumeroReclamo,IDPlantaReparacion,OrdenRealizada,CotizacionRealizada,CotizacionDuplicada,procurementFolderID,DireccionEntrega1,DireccionEntrega2,MarcadoEntrega,IDPartner,CodigoPostal_Cotizacion,LeidoPorPlantaReparacion,LeidoPorPlantaReparacionFecha,CotizacionReabierta,EsAseguradora,CodigoVerificacion,IDClientePlantaReparacion,FechaCreacionRegistro_Cotizacion,IDRecotizacion,PartnerConfirmado,WrittenBy,SeguroValidado,FechaCaptura,Ruta,FechaLimiteRuta
1,,727,5,15027.6,06:34.5,94126,1,AC1000105,21,1,53772,1,Order,4191384207,44:38.0,Aseguradora,438,86036,13285,2815295,FALSE,TRUE,FALSE,,19 New Street,2nd Floor,TRUE,86184,3432,FALSE,53:52.0,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,14:13.8,49192,FALSE,,FALSE,34:35.5,3197009,7:00
2,,818,5,18935.91,08:07.9,,2,ABP5994,14,2,51110,2,Order,532727003,11:46.3,Aseguradora,438,98849,49217,1921879,FALSE,TRUE,TRUE,,576 White New Drive,Suite 7,FALSE,90587,42955,TRUE,03:57.7,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,36:57.5,41847,FALSE,,TRUE,09:57.3,,
3,,769,5,3868.15,42:53.1,98716,3,AC1000156,,3,,3,Order,7886906991,42:06.1,Aseguradora,880,18483,65029,3395527,FALSE,TRUE,TRUE,,77 North Clarendon St.,Pre Sales Department,FALSE,38605,85241,TRUE,16:51.4,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,16:29.4,91271,FALSE,,TRUE,16:07.4,3091025,14:00
4,,559,4,20181.14,52:17.8,56382,4,ABP1995GEOR3,23,4,193727,4,Quote,3867600224,30:00.3,Call center,880,7514,48838,1569444,FALSE,FALSE,TRUE,,495 Rocky Second Avenue,Einstein Building,FALSE,80089,22203,FALSE,15:48.3,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,43:23.6,32231,TRUE,,FALSE,10:58.8,,
5,,207,2,23523.94,53:50.5,39428,5,771OH2,,5,184809,5,Quote,5043466085,43:13.7,Aseguradora,1278,9047,68675,939837,FALSE,TRUE,FALSE,,41 Second Freeway,Suite 2,TRUE,45227,14855,FALSE,40:21.1,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,53:37.4,22770,TRUE,,TRUE,06:53.7,3030013,10:00
6,,1004,4,7244.35,36:58.2,45810,6,ABP2461,7,6,202405,6,Order,402683507,38:19.4,Planta de Reparacion,1278,21100,55141,1653918,TRUE,TRUE,TRUE,,97 South Fabien Boulevard,Suite 512,FALSE,91454,15495,TRUE,04:02.5,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,01:01.1,37678,TRUE,,FALSE,57:59.6,,
7,,907,6,14075.45,43:53.5,67741,7,ABP25303C,,7,117129,7,Order,9155956080,33:40.1,Servicio de Integracion,320,15986,87469,1657058,TRUE,FALSE,TRUE,,316 Green Nobel Way,APT 85,TRUE,92654,64137,TRUE,51:28.0,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,35:31.5,7749,TRUE,,FALSE,19:35.0,3214002,7:00
8,,443,3,19997.69,12:00.9,56533,8,*440MISC,,8,53033,8,Quote,7371560392,49:11.0,Planta de Reparacion,880,5975,11805,90313,FALSE,FALSE,TRUE,,83 Cowley Road,Suite 2896,TRUE,18717,33647,FALSE,23:38.4,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,44:21.8,26618,FALSE,,FALSE,05:05.1,,
9,,978,6,14798.64,28:41.7,72089,9,AC1000154R,12,9,113606,9,Order,9726341974,41:22.8,Call center,880,12879,23341,3384290,TRUE,TRUE,TRUE,,98 North Rocky Nobel Road,Appartment 438,FALSE,43399,65871,TRUE,24:57.0,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,37:45.9,,TRUE,,FALSE,50:34.8,3213MSO,8:00
10,,274,2,9047.45,07:44.6,30618,10,779TEMP999,1,10,126538,10,Quote,6038860487,04:25.9,Servicio de Integracion,320,86163,8571,1086960,FALSE,TRUE,FALSE,,594 West Milton Street,3rd Floor,TRUE,59684,80092,TRUE,08:41.5,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,06:24.9,64457,TRUE,,FALSE,04:08.3,,
